accuracy,loss,val_accuracy,val_loss
0.09029950946569443,2.050145387649536,0.15031315386295319,2.0361740589141846
0.17679928243160248,1.8233263492584229,0.21920667588710785,1.6350922584533691
0.20138578116893768,1.6569585800170898,0.1367432177066803,1.5216130018234253
0.23468931019306183,1.581095576286316,0.16805845499038696,1.5550282001495361
0.2355833649635315,1.4920759201049805,0.2682672142982483,1.3660706281661987
0.256146639585495,1.4427529573440552,0.23382045328617096,1.311080813407898
0.28028610348701477,1.3889256715774536,0.31419622898101807,1.3529330492019653
0.2872150242328644,1.3274726867675781,0.30793318152427673,1.3194042444229126
0.3075547516345978,1.25284743309021,0.3924843370914459,1.0791945457458496
0.3308001756668091,1.200644850730896,0.35699373483657837,1.158521056175232
0.3529280424118042,1.1519241333007812,0.3622129559516907,0.9933135509490967
0.3703621029853821,1.0637949705123901,0.4237995743751526,0.9246287941932678
0.4099240005016327,0.9873889684677124,0.4352818429470062,0.9631636738777161
0.43406346440315247,0.9101215600967407,0.4613778591156006,0.7427965402603149
0.46557891368865967,0.8523184657096863,0.5260960459709167,0.7348906397819519
0.4988824427127838,0.7460139989852905,0.47912317514419556,0.7177931666374207
0.5239159464836121,0.6924854516983032,0.5125260949134827,0.5772109627723694
0.5549843311309814,0.6278188824653625,0.5981211066246033,0.5674829483032227
0.5813589692115784,0.5631598830223083,0.5897703766822815,0.47221750020980835
0.6104157567024231,0.5086237192153931,0.6231732964515686,0.47584253549575806
0.6325435638427734,0.4642181694507599,0.6607515811920166,0.42650485038757324
0.6741171479225159,0.4233655631542206,0.7108559608459473,0.37177401781082153
0.6973625421524048,0.3639918267726898,0.725469708442688,0.30868083238601685
0.7092087864875793,0.3626481592655182,0.7546972632408142,0.279203861951828
0.7266428470611572,0.3322248160839081,0.7463465332984924,0.27638351917266846
0.7322306632995605,0.3296232521533966,0.7860125303268433,0.24034573137760162
0.7487706542015076,0.29530230164527893,0.774530291557312,0.26509174704551697
0.7738041877746582,0.2676413357257843,0.8455114960670471,0.1894320696592331
0.8064371943473816,0.23740039765834808,0.8131523728370667,0.27803024649620056
